english_word,french_word,user_progress_sum,target_progress_sum
without,sans,0,81
to look for,chercher,0,81
park,parc,0,81
countryside,campagne,0,81
historic,historique,0,81
side,côté,0,81
noise,bruit,0,81
memories,souvenirs,0,81
in front,devant,0,81
garden,jardin,0,81
modern,moderne,0,81
garage,garage,0,81
charm,charme,0,81
stable,stable,0,81
noon,midi,0,81
to discuss,discuter,0,81
dinner,dîner,0,81
bilingual,bilingue,0,81
work,travail,0,81
school,école,0,81
city,ville,0,81
car,voiture,0,81
money,argent,0,81
water,eau,0,81
food,nourriture,0,81
time,temps,0,81
day,jour,0,81
year,année,0,81
person,personne,0,81
thing,chose,0,81
man,homme,0,81
woman,femme,0,81
child,enfant,0,81
friend,ami,0,81
idea,idée,0,81
nothing,rien,0,81
to be,être,0,81
to have,avoir,0,81
to go,aller,0,81
to do,faire,0,81
to be able to,pouvoir,0,81
to want,vouloir,0,81
to have to,devoir,0,81
to come,venir,0,81
to take,prendre,0,81
to put,mettre,0,81
to say,dire,0,81
to see,voir,0,81
to know,savoir,0,81
to speak,parler,0,81
to ask,demander,0,81
to get up,se lever,0,81
good,bon,0,81
bad,mauvais,0,81
small,petit,0,81
big,grand,0,81
new,nouveau,0,81
old,vieux,0,81
hot,chaud,0,81
cold,froid,0,81
easy,facile,0,81
difficult,difficile,0,81
important,important,0,81
happy,content,0,81
often,souvent,0,81
always,toujours,0,81
here,ici,0,81
today,aujourd'hui,0,81
tomorrow,demain,0,81
yesterday,hier,0,81
quickly,vite,0,81
slowly,lentement,0,81
now,maintenant,0,81
very,très,0,81
not,pas,0,81
well,bien,0,81
badly,mal,0,81
again,encore,0,81
also,aussi,0,81
maybe,peut-être,0,81
a lot,beaucoup,0,81
book,livre,0,81
dog,chien,0,81
cat,chat,0,81
table,table,0,81
chair,chaise,0,81
door,porte,0,81
window,fenêtre,0,81
to eat,manger,0,81
to drink,boire,0,81
to sleep,dormir,0,81
to read,lire,0,81
to write,écrire,0,81
to listen,écouter,0,81
beautiful,beau,0,81
pretty,joli,0,81
young,jeune,0,81
strong,fort,0,81
intelligent,intelligent,0,81
rich,riche,0,81
sometimes,parfois,0,81
never,jamais,0,81
early,tôt,0,81
late,tard,0,81
far,loin,0,81
near,près,0,81
family,famille,0,81
mother,mère,0,81
father,père,0,81
brother,frère,0,81
sister,sœur,0,81
question,question,0,81
answer,réponse,0,81
problem,problème,0,81
solution,solution,0,81
help,aide,0,81
to help,aider,0,81
to think,penser,0,81
to understand,comprendre,0,81
to learn,apprendre,0,81
to hear,entendre,0,81
to look,regarder,0,81
to find,trouver,0,81
to give,donner,0,81
to buy,acheter,0,81
to live,habiter,0,81
to leave,partir,0,81
to arrive,arriver,0,81
to start,commencer,0,81
to finish,finir,0,81
to use,utiliser,0,81
to need,avoir besoin,0,81
to like,aimer,0,81
to love,adorer,0,81
to prefer,préférer,0,81
to feel,se sentir,0,81
to believe,croire,0,81
right,juste,0,81
wrong,faux,0,81
same,même,0,81
before,avant,0,81
after,après,0,81
because,parce que,0,81
there,là-bas,0,81
with,avec,0,81
house,maison,0,81
key,clé,0,81
apartment,appartement,0,81
bird,oiseau,0,81
flower,fleur,0,81
building,bâtiment,0,81
story,histoire,0,81
street,rue,0,81
wind,vent,0,81
nature,nature,0,81
childhood,enfance,0,81
television,télévision,0,81
vegetable,légume,0,81
art,art,0,81
tool,outil,0,81
job,emploi,0,81
meal,repas,0,81
politics,politique,0,81
teacher,professeur,0,81
